coil_id	coil_type	point_index	x_m	y_m	z_m
TF_00	TF	0	0.305000	0.000000	0.000000
TF_00	TF	1	0.304963	0.000000	0.002356
TF_00	TF	2	0.304852	0.000000	0.004709
TF_00	TF	3	0.304667	0.000000	0.007058
TF_00	TF	4	0.304409	0.000000	0.009400
TF_00	TF	5	0.304077	0.000000	0.011733
TF_00	TF	6	0.303672	0.000000	0.014054
TF_00	TF	7	0.303194	0.000000	0.016361
TF_00	TF	8	0.302644	0.000000	0.018652
TF_00	TF	9	0.302022	0.000000	0.020924
TF_00	TF	10	0.301329	0.000000	0.023176
TF_00	TF	11	0.300566	0.000000	0.025405
TF_00	TF	12	0.299733	0.000000	0.027609
TF_00	TF	13	0.298832	0.000000	0.029786
TF_00	TF	14	0.297862	0.000000	0.031933
TF_00	TF	15	0.296825	0.000000	0.034049
TF_00	TF	16	0.295723	0.000000	0.036132
TF_00	TF	17	0.294556	0.000000	0.038178
TF_00	TF	18	0.293325	0.000000	0.040187
TF_00	TF	19	0.292031	0.000000	0.042156
TF_00	TF	20	0.290676	0.000000	0.044084
TF_00	TF	21	0.289262	0.000000	0.045968
TF_00	TF	22	0.287788	0.000000	0.047807
TF_00	TF	23	0.286258	0.000000	0.049598
TF_00	TF	24	0.284673	0.000000	0.051341
TF_00	TF	25	0.283033	0.000000	0.053033
TF_00	TF	26	0.281341	0.000000	0.054673
TF_00	TF	27	0.279598	0.000000	0.056258
TF_00	TF	28	0.277807	0.000000	0.057788
TF_00	TF	29	0.275968	0.000000	0.059262
TF_00	TF	30	0.274084	0.000000	0.060676
TF_00	TF	31	0.272156	0.000000	0.062031
TF_00	TF	32	0.270187	0.000000	0.063325
TF_00	TF	33	0.268178	0.000000	0.064556
TF_00	TF	34	0.266132	0.000000	0.065723
TF_00	TF	35	0.264049	0.000000	0.066825
TF_00	TF	36	0.261933	0.000000	0.067862
TF_00	TF	37	0.259786	0.000000	0.068832
TF_00	TF	38	0.257609	0.000000	0.069733
TF_00	TF	39	0.255405	0.000000	0.070566
TF_00	TF	40	0.253176	0.000000	0.071329
TF_00	TF	41	0.250924	0.000000	0.072022
TF_00	TF	42	0.248652	0.000000	0.072644
TF_00	TF	43	0.246361	0.000000	0.073194
TF_00	TF	44	0.244054	0.000000	0.073672
TF_00	TF	45	0.241733	0.000000	0.074077
TF_00	TF	46	0.239400	0.000000	0.074409
